user,time,sec,from,to,text,svm_role,svm_conf,llm_conf,reason
Chiahui Huang,00:59:30,3570,,KOC,700,KOC,0.7060146535529785,0.71,表達購買意圖
Chih Chieh Chen,02:27:15,8835,,KOF,666,KOF,0.708987047112283,0.71,表達讚賞/笑聲
Cosmo Chiu,00:04:39,279,null,KOF,油炮釘,KOF,0.7272022141303652,0.73,只提產品名無購買意圖
David Wang,02:27:15,8835,,KOF,666,KOF,0.708987047112283,0.71,表達興奮，非購買意圖
Denktom Wu,00:43:05,2585,,KOC,700,KOC,0.7060146535529785,0.71,表達購買意圖
Denktom Wu,02:27:06,8826,KOC,KOF,666,KOF,0.708987047112283,0.71,無購買意圖
Denktom Wu,02:33:22,9202,KOF,KOC,+1,KOC,0.7267824873503871,0.73,留言含+1，表示購買意圖
Denktom Wu,02:35:33,9333,KOC,KOF,恭喜,KOF,0.6799771804662044,0.68,最近留言多為祝賀，屬KOF
Denktom Wu,02:40:14,9614,KOF,KOC,1000,KOC,0.7285441201024833,0.73,表達購買意圖
Denktom Wu,02:42:39,9759,KOC,KOF,恭喜,KOF,0.6799771804662044,0.68,SVM判定為KOF
Eugene Chen,02:27:31,8851,,KOF,666,KOF,0.708987047112283,0.71,表達興奮無購買意圖
Fu Chang Stone,02:27:53,8873,,KOF,666,KOF,0.708987047112283,0.71,簡單回應無購買意圖
Fu Chang Stone,02:32:55,9175,KOF,KOC,+1,KOC,0.7267824873503871,0.73,表達購買意圖
Grace Lu,00:04:41,281,null,KOF,油炮釘,KOF,0.7272022141303652,0.73,只提產品名無購買意圖
Helen Chang,01:42:52,6172,,KOC,+1,KOC,0.7267824873503871,0.73,+1常見為購買意圖
Helen Chang,02:01:00,7260,KOC,KOF,香,KOF,0.5974781858237201,0.6,無購買意圖
Hong Wen Lin,00:04:00,240,null,KOF,油炮釘,KOF,0.7272022141303652,0.73,短語無購買意圖
Huang Hsuan,00:43:55,2635,null,KOC,1100,KOC,0.7770273056892669,0.78,表達購買意圖
Jack Hsu,00:03:49,229,,KOF,油炮釘,KOF,0.7272022141303652,0.73,未表明購買意圖
Jack Hsu,02:05:04,7504,KOF,KOC,黃/綠+1,KOC,0.7737704369907598,0.77,表達購買意圖
Jack Yeh,00:04:48,288,,KOF,油炮釘,KOF,0.7272022141303652,0.73,只提產品名無購買意圖
Jeremy Huang,00:06:52,412,,KOF,油炮釘,KOF,0.7272022141303652,0.73,无购买意图
Joe Hi,02:14:14,8054,null,KOC,可以换筆蕊嗎？,KOC,0.6364071966581942,0.64,询问更换商品
Joe Hi,02:27:55,8875,KOC,KOF,666,KOF,0.708987047112283,0.71,表情符號表達喜歡
Joe Hi,02:29:14,8954,KOF,KOC,剛剛没筆蓋的黄+綠+1,KOC,0.7274219022123679,0.73,表達購買意圖
Joe Hi,02:35:24,9324,KOC,KOF,666,KOF,0.708987047112283,0.71,用户仅表达赞叹，非购买意图
Lee Destry,00:03:43,223,,KOF,油泡釘,KOF,0.6957598259840783,0.7,提及商品但無購買意圖
Lin Mitsurugi,00:43:07,2587,,KOC,700,KOC,0.7060146535529785,0.71,表達購買意圖
Lin Story,00:48:19,2899,KOF,KOC,1563,KOC,0.6799765814117964,0.68,数字可能是商品编号
Mars Chao,00:07:56,476,,KOF,油炮釘,KOF,0.7272022141303652,0.73,无购买意图
Mprs Tty,00:07:31,451,,KOF,油炮釘,KOF,0.7272022141303652,0.73,仅提及商品名，无购买意图
Mprs Tty,00:16:23,983,KOF,KOC,1388,KOC,0.6350122092714993,0.64,留言含價格，暗示購買意圖
Shih Chien Su,00:46:59,2819,,KOF,好木頭,KOC,0.44269944085027235,0.6,无购买意图
Shih Chien Su,00:47:58,2878,KOF,KOC,買過有，比較大塊,KOC,0.6268802358687801,0.63,提到購買經驗
Shih Chien Su,00:50:06,3006,KOC,KOS,這種料遇到機率相對低很多,KOS,0.6671208463293785,0.67,分享使用心得
Shu Miao Chang,02:02:25,7345,null,KOF,888+1,KOC,0.6573633911591303,0.8,支持表達
Shu Miao Chang,02:02:59,7379,KOF,KOC,1+1,KOC,0.7293058194283382,0.73,SVM判斷為購買意圖
Shu Miao Chang,02:06:26,7586,KOC,KOF,謝謝老師和大木哥,KOF,0.65459319955683,0.65,感謝訊息無購買意圖
Shu Miao Chang,02:16:21,8181,KOF,KOC,我的組合是：黃+綠，麻煩小編修改，謝謝。,KOC,0.6569561153493594,0.66,請求修改訂單
Simon Lin,01:02:33,3753,null,KOC,1100,KOC,0.7770273056892669,0.78,表達購買意圖
Soros Lin,00:06:50,410,,KOF,油炮釘,KOF,0.7272022141303652,0.73,无购买意图
Soros Lin,00:43:16,2596,KOF,KOC,700,KOC,0.7060146535529785,0.71,表達購買意圖
Soros Lin,02:26:45,8805,KOC,KOF,666,KOF,0.708987047112283,0.71,表達讚賞無購買意圖
Vince Lee,00:15:34,934,null,KOC,1413,KOC,0.7126811251295515,0.71,数字可能是商品编号
Vince Lee,00:43:31,2611,KOC,KOF,Ok,other,0.689596349530086,0.7,簡短回覆屬於閒聊
Vince Lee,00:43:53,2633,KOF,KOC,1200,KOC,0.7304564890218922,0.73,表達購買意圖
WL Lu,02:36:27,9387,null,KOF,666,KOF,0.708987047112283,0.71,符合KOF特徵
Xiao Yang,01:53:25,6805,null,KOC,3688,KOC,0.6885635915960477,0.69,留言無意義，推測購買意圖
Xiao Yang,02:27:29,8849,KOC,KOF,666,KOF,0.708987047112283,0.71,留言無購買意圖
Xiao Yang,02:32:03,9123,KOF,KOC,+1,KOC,0.7267824873503871,0.73,加購意圖
YK Sun,01:26:34,5194,null,KOC,250,KOC,0.7247744894623678,0.72,表達購買意圖
YU Bin Xiao,00:08:16,496,null,KOF,油砲丁,KOF,0.6914921928137401,0.69,无购买意图
YU Bin Xiao,00:10:49,649,KOF,KOC,有厚一點的嗎,KOC,0.7220886001526685,0.72,詢問產品厚度，表明購買意圖
Yung Ming Tseng,00:04:59,299,null,KOF,油炮釘,KOF,0.7272022141303652,0.73,无购买意图
付小平,02:26:58,8818,,KOF,666,KOF,0.708987047112283,0.71,表情符號無購買意圖
余柏緯,00:02:52,172,null,KOS,已分享,KOS,0.7136159046243883,0.71,已分享表明分享心得
余柏緯,00:02:58,178,KOS,KOF,油炮釘,KOF,0.7272022141303652,0.7272022141303652,LLM不可用，回退SVM：ConnectionError
傅文洲,02:31:59,9119,null,KOC,+1,KOC,0.7267824873503871,0.73,表達購買意圖
劉鳳,02:31:34,9094,KOF,KOC,+1,KOC,0.7267824873503871,0.73,留言含購買意圖
劉鳳,02:35:20,9320,KOC,KOF,666,KOF,0.708987047112283,0.71,留言內容與KOF一致
包嘉良,02:10:11,7811,null,KOF,午安,KOF,0.631216918961759,0.63,簡單問候
包嘉良,02:32:29,9149,KOF,KOC,+1,KOC,0.7267824873503871,0.73,留言含購買意圖
包嘉良,02:35:43,9343,KOC,KOF,恭喜,KOF,0.6799771804662044,0.6799771804662044,LLM不可用，回退SVM：ConnectionError
包嘉良,02:39:58,9598,KOF,KOC,2000,KOC,0.6931027662714666,0.69,表達購買意圖
包嘉良,02:42:03,9723,KOC,KOF,恭喜,KOF,0.6799771804662044,0.68,祝賀訊息，非購買
吕學義,00:04:28,268,null,KOF,油炮釘,KOF,0.7272022141303652,0.73,无购买意图
吕學義,02:14:54,8094,KOF,KOC,1000+1,KOC,0.7700120468857868,0.77,表達購買意圖
吕學義,02:27:58,8878,KOC,KOF,666,KOF,0.708987047112283,0.71,表達興奮無購買意圖
呂紹強,00:03:54,234,null,KOF,油炮釘,KOF,0.7272022141303652,0.73,无购买意图
呂紹強,01:24:53,5093,KOF,KOC,128,KOC,0.7184858000587901,0.72,數字暗示購買意圖
呂紹強,02:00:44,7244,KOC,KOS,超香，老師的筆質感真的超讚,KOS,0.4811083670014925,0.48,分享使用心得
呂紹強,02:06:35,7595,KOS,KOC,黑檀磁吸盒質感更讚，超沉,KOC,0.5652286189415971,0.5652286189415971,LLM不可用，回退SVM：ConnectionError
呂紹強,02:14:57,8097,KOC,KOF,老師又要買一送一,KOS,0.7002037008000437,0.8,提及促銷非購買意圖
呂紹強,02:16:33,8193,KOS,KOF,老師真大方,KOF,0.4742130984682964,0.47,回應贊美，非購買意圖
夏旭明,00:01:47,107,,KOF,下午好,KOF,0.5316402319925416,0.53,簡單問候
夏旭明,00:42:29,2549,KOF,KOC,500,KOC,0.7101320175272542,0.71,留言含購買意圖
夏旭明,02:20:07,8407,KOC,KOF,水,KOF,0.6119990497915372,0.61,短訊無購買意圖
夏旭明,02:32:24,9144,KOF,KOC,+1,KOC,0.7267824873503871,0.73,留言含購買意圖
夏旭明,02:36:49,9409,KOC,KOF,666,KOF,0.708987047112283,0.71,表達支持，非購買意圖
夏旭明,02:40:47,9647,KOF,KOC,3200,KOC,0.8288241260967679,0.8288241260967679,SVM高信心直接採用(0.83)
孟慧玲,00:07:22,442,null,KOF,油炮釘,KOF,0.7272022141303652,0.73,无购买意图
孟慧玲,00:41:41,2501,KOF,KOC,300,KOC,0.7281463113517442,0.73,表達購買意圖
孟慧玲,00:47:36,2856,KOC,KOS,之前有買過，有比較大塊，大家趕快出價,KOS,0.7111957794318267,0.7111957794318267,LLM不可用，回退SVM：ConnectionError
孟慧玲,01:24:05,5045,KOS,KOC,128+1,KOC,0.7362487921498878,0.74,表達購買意圖
孟慧玲,01:54:51,6891,KOC,KOF,謝謝,KOF,0.5782694622683783,0.58,表示感謝，屬互動
宋智皓,00:06:45,405,,KOF,油炮釘,KOF,0.7272022141303652,0.73,无购买意图
廖宜賓,02:33:30,9210,null,KOC,超大油炮丁,KOC,0.5356325935633856,0.54,表達購買意圖
廖宜賓,02:35:06,9306,KOC,KOF,恭喜,KOF,0.6799771804662044,0.68,祝賀語屬閒聊
廖建安,02:28:24,8904,,KOF,666,KOF,0.708987047112283,0.71,表達讚賞/笑聲
廖建安,02:32:29,9149,KOF,KOC,+1,KOC,0.7267824873503871,0.73,表達購買意圖
微風蔡,00:04:23,263,null,KOF,油炮釘,KOF,0.7272022141303652,0.73,无购买意图
摩里沙卡,02:26:28,8788,null,KOF,666,KOF,0.708987047112283,0.71,表達讚賞，屬閒聊
文君,01:18:28,4708,,KOF,木友們下午好,KOF,0.5452463983920396,0.55,打招呼
易井田,00:04:03,243,null,KOF,油炮釘,KOF,0.7272022141303652,0.73,只提產品名無購買意圖
晁弘祥,00:04:22,262,,KOF,油炮釘,KOF,0.7272022141303652,0.73,无购买意图
曹伯愷,02:27:20,8840,,KOF,666,KOF,0.708987047112283,0.71,表達興奮
曾曉鑫,02:26:55,8815,null,KOF,666,KOF,0.708987047112283,0.71,簡短表情無購買意圖
李建成,00:03:37,217,,KOF,油炮釘,KOF,0.7272022141303652,0.73,无购买意图
李建成,02:33:44,9224,KOF,KOC,+1,KOC,0.7267824873503871,0.73,加一表示購買意圖
李建成,02:37:00,9420,KOC,KOF,666,KOF,0.708987047112283,0.71,回應表情非購買意圖
李羿酉,00:08:51,531,,KOF,油炮釘,KOF,0.7272022141303652,0.73,只提產品名無購買意圖
李羿酉,00:43:42,2622,KOF,KOC,800,KOC,0.735076167237403,0.74,表達購買意圖
李羿酉,01:38:04,5884,KOC,KOF,恭喜,KOF,0.6799771804662044,0.68,祝賀語屬互動
林坤和,00:06:09,369,,KOF,油炮釘,KOF,0.7272022141303652,0.73,未表明購買意圖
林坤和,00:07:02,422,KOF,KOS,已分享,KOS,0.7136159046243883,0.71,已分享，屬於分享心得
林坤和,02:27:01,8821,KOS,KOF,666,KOF,0.708987047112283,0.71,留言為表達讚賞，屬互動
林政毅,02:26:37,8797,,KOF,666,KOF,0.708987047112283,0.71,表達興奮/讚美
林政毅,02:41:27,9687,KOF,KOC,4700,KOC,0.7192475592841883,0.72,數字顯示購買意圖
林昇賢,00:01:19,79,,KOF,午安,KOF,0.631216918961759,0.63,簡短問候
林昇賢,00:05:35,335,KOF,KOS,已分享,KOS,0.7136159046243883,0.71,分享使用心得
林昇賢,00:06:03,363,KOS,KOF,油炮釘,KOF,0.7272022141303652,0.73,留言内容与KOF匹配
林昇賢,00:06:28,388,KOF,KOS,已分享,KOS,0.7136159046243883,0.71,已分享表明已購買
林昇賢,00:07:13,433,KOS,KOF,油炮釘,KOF,0.7272022141303652,0.73,留言內容與KOF一致
林昇賢,00:27:23,1643,KOF,KOC,會不會再裂開,KOC,0.5921186486205073,0.59,詢問產品質量
林雁峯,02:00:16,7216,,KOF,香,KOF,0.5974781858237201,0.6,簡單評論
柯宏達,00:16:42,1002,,other,請良心出價，不要再出100元，至少要200起，才對的起木材。,KOS,0.7010235853047339,0.8,請求報價非購買意圖
柯宏達,02:32:11,9131,other,KOF,這支讚,KOS,0.4349539227972907,0.6,短評讚好屬閒聊
柯宏達,02:33:55,9235,KOF,KOC,+1,KOC,0.7267824873503871,0.73,含購買意圖
楊祥麟,00:14:45,885,,KOF,大木哥哥下午好,KOF,0.6482519747810445,0.65,問候語句
楊素華,01:24:38,5078,null,KOC,128+1,KOC,0.7362487921498878,0.74,表達購買意圖
楊素華,02:26:41,8801,KOC,KOF,666,KOF,0.708987047112283,0.71,表情符號非購買意圖
楊耕富,00:03:35,215,null,KOF,油炮釘,KOF,0.7272022141303652,0.73,无购买意图
楊耕富,00:42:45,2565,KOF,KOC,200,KOC,0.7132237037976555,0.71,數字暗示購買意圖
楊耕富,02:00:18,7218,KOC,KOF,真香,KOF,0.5284780570773578,0.53,回應商品好感
歐陽,02:26:40,8800,null,KOF,666,KOF,0.708987047112283,0.71,表情符號無購買意圖
池雙耀,00:07:51,471,,other,殘酷的世界,other,0.4956105848726435,0.5,無購買意圖
潘惠林,02:27:01,8821,,KOF,666,KOF,0.708987047112283,0.71,表達讚賞無購買意圖
牛頭耿,00:04:15,255,null,KOF,油炮叮,KOF,0.6790915100128624,0.68,短語無購買意圖
王彥景,00:04:14,254,,KOF,油炮釘,KOF,0.7272022141303652,0.73,仅提及产品，无购买意图
王繼勇,02:27:29,8849,,KOF,666,KOF,0.708987047112283,0.71,無購買意圖
甘晉誠,00:04:06,246,,KOF,油炮釘,KOF,0.7272022141303652,0.73,只提產品名無購買意圖
甲上上,00:00:46,46,null,KOF,午安,KOF,0.631216918961759,0.63,簡短問候
甲上上,00:43:12,2592,KOF,KOC,700,KOC,0.7060146535529785,0.71,表達購買意圖
甲上上,00:57:25,3445,KOC,KOF,感謝,KOF,0.5838962976922101,0.58,感謝屬於問候
甲上上,00:58:44,3524,KOF,KOC,600,KOC,0.6410212229425885,0.64,表達購買意圖
甲上上,01:37:42,5862,KOC,KOF,恭喜,KOF,0.6799771804662044,0.68,留言為祝賀，屬互動
甲上上,01:44:50,6290,KOF,KOC,2600,KOC,0.7459938346746944,0.75,數字顯示購買意圖
甲上上,01:46:39,6399,KOC,KOF,不會 感謝,KOF,0.4686557004783429,0.47,短句感謝屬互動
甲上上,02:02:38,7358,KOF,KOC,可以黃金壇配綠壇一組嗎,KOC,0.639827071683115,0.64,詢問購買組合
甲上上,02:04:44,7484,KOC,KOF,感謝,KOF,0.5838962976922101,0.58,感謝屬於閒聊
甲上上,02:26:54,8814,KOS,KOF,666,KOF,0.708987047112283,0.71,短訊號無購買意圖
盧晴晴,02:28:25,8905,null,KOF,666,KOF,0.708987047112283,0.71,符合KOF特徵
菀羚趙,02:27:32,8852,,KOF,666,KOF,0.708987047112283,0.71,符合KOF特徵
菀羚趙,02:33:54,9234,KOC,KOF,老余最愛的味道,KOF,0.533463406069228,0.53,评论味道非购买意图
菀羚趙,02:40:21,9621,KOF,other,頭殼壞掉了哥哥，水啦,other,0.49099496876868354,0.49099496876868354,LLM不可用，回退SVM：ConnectionError
菀羚趙,02:42:26,9746,other,KOF,恭喜,KOF,0.6799771804662044,0.68,恭喜屬於互動閒聊
蕭昭榕,00:58:52,3532,null,KOC,900,KOC,0.7666742836908385,0.77,含購買意圖
許傳文,00:42:05,2525,null,KOC,600,KOC,0.6410212229425885,0.64,表達購買意圖
許傳文,01:42:52,6172,KOC,KOF,+1,KOC,0.7267824873503871,0.82,留言為+1，屬於互動
許肇英,02:27:50,8870,,KOF,666,KOF,0.708987047112283,0.71,表達讚賞無購買意圖
許肇英,02:32:46,9166,KOF,KOC,+1,KOC,0.7267824873503871,0.73,表達購買意圖
謝駿鎰,00:07:47,467,,KOF,油砲丁,KOF,0.6914921928137401,0.69,非購買意圖
鄒逸芸,01:59:44,7184,,KOF,香,KOF,0.5974781858237201,0.6,簡單表達喜好
鄭堯隆,00:05:37,337,,KOF,油砲釘,KOF,0.7334289030116159,0.73,符合KOF特徵
鄭承洲,00:43:07,2587,,KOC,700,KOC,0.7060146535529785,0.71,表達購買意圖
陳孟勤,02:32:51,9171,null,KOC,+1,KOC,0.7267824873503871,0.73,表達購買意圖
陳家福,00:04:26,266,,KOF,油泡釘,KOF,0.6957598259840783,0.7,短語無購買意圖
陳家福,02:31:36,9096,KOF,KOC,+1,KOC,0.7267824873503871,0.73,表達購買意圖
陳小彥,00:04:19,259,,KOF,油炮釘,KOF,0.7272022141303652,0.73,无购买意图
陳小文,00:02:18,138,,KOF,下午好,KOF,0.5316402319925416,0.53,簡單問候
陳政忠,00:01:48,108,null,KOS,大家下午好，已分享....,KOS,0.7128774115636807,0.71,分享使用心得
陳政忠,00:02:21,141,KOS,KOF,油庖丁,KOF,0.6607356737873612,0.66,短暫留言無購買意圖
陳皆興,00:40:25,2425,,KOC,1725,KOC,0.667119352838518,0.67,數字可能為購買意圖
陳皆興,00:51:07,3067,KOC,KOS,我有買過，這是醇化味,KOC,0.6470095989857174,0.85,分享使用心得
陳皆興,01:35:47,5747,KOS,KOC,80OO,KOC,0.7060953383691347,0.71,近期多次KOC訊息
陳皆興,01:46:19,6379,KOC,KOF,恭喜,KOF,0.6799771804662044,0.68,祝賀語屬互動閒聊
陳皆興,02:31:23,9083,KOF,KOC,+1,KOC,0.7267824873503871,0.73,SVM判斷為購買意圖
陳皆興,02:35:18,9318,KOC,KOF,恭喜,KOF,0.6799771804662044,0.68,留言符合KOF特徵
陳皆興,02:40:26,9626,KOF,KOC,420O,KOC,0.71772849953505,0.72,留言含購買意圖
陳皆興,02:41:34,9694,KOC,KOF,恭喜,KOF,0.6799771804662044,0.68,祝賀語屬互動
陳紘杰,01:50:06,6606,KOF,other,筆拿來0元起標,KOS,0.6863377742941307,0.69,出售商品非購買意圖
陳紘杰,01:52:01,6721,other,KOF,這可以車球棒欸,other,0.414600227766221,0.62,只是詢問產品用途
陳紘杰,01:57:51,7071,KOF,KOC,請問我可以幫忙加碼嗎,KOS,0.675605209814584,0.68,詢問加碼屬交易意圖
陳紘杰,01:58:43,7123,KOS,KOC,買一支送一支,KOS,0.6786612598733798,0.68,表達購買意圖
陳紘杰,01:58:57,7137,KOC,KOS,香打香？,KOS,0.6578631779840971,0.66,詢問產品屬性
陳紘杰,02:00:43,7243,KOS,KOC,有沒有木盒子,KOC,0.5806805736989603,0.58,询问商品购买意图
陳紘杰,02:02:52,7372,KOC,KOF,夠 +起來,other,0.6178938908081117,0.72,無購買意圖
陳紘杰,02:03:37,7417,KOF,KOS,黑檀磁吸盒也+碼啊 衝,KOS,0.6723265252374802,0.67,提及產品表購買意向
陳紘杰,02:05:10,7510,KOS,KOF,交個朋友,other,0.6928623948523848,0.72,想交友非購買
陳紘杰,02:05:29,7529,KOF,KOS,今天去龍潭一等賞喝了一些,KOS,0.5440063875629944,0.54,分享使用心得
陳紘杰,02:06:05,7565,KOS,other,老闆決定,other,0.7024441177326193,0.7,無購買或分享意圖
陳紘杰,02:13:13,7993,KOS,KOF,阿莎力一點,other,0.6914315670315205,0.7,提及產品但無購買意圖
陳紘杰,02:14:09,8049,KOF,KOC,買一送一 香打香？,KOS,0.7811047810296851,0.75,詢問購買意圖
陳紘杰,02:16:31,8191,KOC,KOF,沒加的朋友才是喝醉了，哈哈哈,other,0.7200028171379529,0.82,非購買意圖
陳美怡,02:26:05,8765,null,KOF,666,KOF,0.708987047112283,0.71,表達讚賞或笑聲
陳耀東,02:26:33,8793,,KOF,666,KOF,0.708987047112283,0.71,表情符號表示歡笑
韓榮華,01:43:18,6198,,KOF,+1,KOC,0.7267824873503871,0.82,点赞无购买意图
韓榮華,02:32:07,9127,KOF,KOC,+1,KOC,0.7267824873503871,0.73,表達購買意圖
韓榮華,02:34:05,9245,KOC,KOF,牡羊座的脾氣有很好嗎？,other,0.7285094614499582,0.82,提問屬於互動類
韓榮華,02:36:32,9392,KOF,other,這個敗家子拿蕭南當底座,other,0.7050878942856331,0.71,無購買或互動意圖
黃嫈婷,00:05:07,307,null,KOF,油炮釘,KOF,0.7272022141303652,0.73,未表明購買意圖
黃小敏,00:04:28,268,,KOF,油炮釘,KOF,0.7272022141303652,0.73,提及商品但無購買意圖
黃明輝,00:00:08,8,,KOF,午安,KOF,0.631216918961759,0.63,無購買意圖
黃正正,00:03:33,213,null,KOF,油炮釘,KOF,0.7272022141303652,0.73,未表明購買意圖
黃瑞全,00:01:30,90,,KOF,午安,KOF,0.631216918961759,0.63,簡短問候
黃瑞全,00:02:20,140,KOF,KOS,下午好，已分享直播,KOS,0.6960511195127146,0.7,分享直播符合KOS
黃瑞全,00:03:07,187,KOS,KOF,油炮釘,KOF,0.7272022141303652,0.73,提及商品但無購買意圖
黃瑞全,01:42:41,6161,KOF,KOC,+1,KOC,0.7267824873503871,0.7267824873503871,LLM不可用，回退SVM：ConnectionError
黃瑞全,02:26:06,8766,KOC,KOF,666,KOF,0.708987047112283,0.71,表達讚賞，非購買意圖
黃運緯,02:32:00,9120,,KOC,+1,KOC,0.7267824873503871,0.73,暗示購買意圖
黃運緯,02:33:36,9216,KOC,other,我不用底座，2000開車,other,0.5258318955071245,0.53,无购买意图
黃運緯,02:35:25,9325,other,KOF,恭喜,KOF,0.6799771804662044,0.68,互動語氣符合KOF
黃運緯,02:35:48,9348,KOF,KOC,36666,KOC,0.6210869596608569,0.62,數字可能是商品編號
