user,time,comment,roles_human
曾令豪,00:16:14,了解,other
Jack Hsu,00:16:27,北部,other
楊耕富,00:16:30,北部,other
曾令豪,00:16:32,北部,other
林世峯,00:16:33,中部,other
Chih Chieh Chen,00:16:34,了解,other
Grace Lu,00:16:35,中部,other
孟慧玲,00:16:37,北部最多,other
Moyuman Tseng,00:16:38,余董家最多,KOF
張家榮,00:16:39,中部,other
Cena Liu,00:16:40,中部,other
楊耕富,00:16:45,北部,other
鄭文達,00:16:46,中部,other
Ericsson Lee,00:16:46,中北南東,other
張家榮,00:16:46,南部,other
吕學義,00:16:47,中部,other
陳彥勳,00:16:48,北部,other
Gali Lei,00:16:50,北部,other
許張林,00:16:51,摩里沙卡,other
Jack Hsu,00:16:52,中部,other
Chih Chieh Chen,00:16:55,北部,other
楊耕富,00:16:56,中部,other
熊寶寶,00:17:03,了解,other
柯重宇,00:17:03,中部,other
甲上上,00:17:18,中部,other
楊耕富,00:20:03,東眼山,other
楊耕富,00:20:06,烏來,other
Simon Liu,00:20:06,東眼山,other
熊寶寶,00:20:12,烏來肖楠,other
柯重宇,00:20:12,塔曼山,other
楊耕富,00:20:13,復興,other
張小咪,00:20:19,東眼山,other
鄭文達,00:20:20,東眼山,other
楊和展,00:20:20,東眼山,other
陳小文,00:20:22,東眼山,other
Wau Chin A,00:20:24,都沒買到,other
賴澐謄,00:20:24,塔曼山,other
張家榮,00:20:28,塔曼山,other
坦臻,00:20:30,東眼山,other
孟慧玲,00:20:33,東眼山沒買到,other
Cena Liu,00:20:34,東眼山,other
甲上上,00:20:36,復興,other
徐琳舒,00:20:39,塔曼山,other
Cena Liu,00:20:44,塔曼山,other
Jorneet Chen,00:21:19,上禮拜才去過滿月圓森林遊樂區,other
柯宏達,00:21:39,殺ㄧ支東眼的讓我們買,KOC
徐琳舒,00:22:04,滿月圓手珠味道讚,KOC
Jorneet Chen,00:22:05,安捏甘賀,other
Rich Chang,00:22:05,東眼山遊客中心前還有幾顆活肖楠,other
Chia-Cheng Liu,00:24:00,那邊進去都工人林,other
柯宏達,00:26:37,2oo開車,other
Jorneet Chen,00:28:52,龜（ㄐㄩㄣ）裂,other
陳紘杰,00:30:00,這個太美了吧,KOC
陳紘杰,00:30:56,我有去吸收他的energy,other
陳振毅,00:31:36,被林董買走那根嗎？,other
洪文龍,00:32:00,能量,other
Jorneet Chen,00:33:07,燒杉,other
Moyuman Tseng,00:33:55,林森北路博士可以去驗證嗎,other
廖家麟,00:35:04,2260,KOC
張家榮,00:36:20,廖醫師賺大錢,other
廖家麟,00:37:29,乾蝦哩,other
Mai Mooto,00:39:42,我等等就買,KOC
Moyuman Tseng,00:42:58,刮腳皮,other
Jorneet Chen,00:43:04,這隻刮過了，扣五百,other
Cena Liu,00:45:09,什麼木都可以用嗎,KOC
尤新納,00:45:44,那隻刮刀去哪邊買？,KOC
Jialiu Hou,00:48:02,留一點合適的滿月圓棍子給我,KOC
Jialiu Hou,00:50:20,留個2～3隻就好,KOC
鄭彼得,00:50:52,6620,KOC
洪文龍,00:52:32,三峽,other
Wau Chin A,00:52:38,溫泉不錯,other
鄭彼得,00:53:17,我要買,KOC
Shih Chien Su,00:57:54,愛的鼓勵一起來,other
Jason Wang,00:58:16,水,KOC
洪文龍,00:58:16,水,KOC
楊耕富,00:58:28,水,KOC
鄭彼得,00:58:30,水,KOC
Yu Xie,00:58:45,水嘎,KOC
陳威棠,00:58:53,大橫的放 粗的在下面,other
易井田,00:58:59,水,KOC
Cena Liu,00:59:03,水,KOC
張靜柱,00:59:14,加一,KOC
楊仁耀,01:00:11,+1,KOC
洪文龍,01:00:30,+1,KOC
孟慧玲,01:05:57,明白,other
易井田,01:05:59,明白,other
黃鵠志,01:06:13,授教,other
Cena Liu,01:06:26,了解,KOF
楊仁耀,01:06:45,48888,KOC
楊仁耀,01:07:02,值得收藏,KOS
菀羚趙,01:07:13,恭喜,KOF
易井田,01:08:17,賀成交,KOF
楊仁耀,01:08:39,飛來飛去 還是看這台 心中有摩里沙卡,KOF
Wau Chin A,01:08:51,賀成交,KOF
楊仁耀,01:09:02,會虎蘭了,other
菀羚趙,01:09:35,沒聽到老余的聲音會￼睡不著￼,KOF
葉豐榮,01:10:56,去摩里打工才會有錢,other
楊仁耀,01:11:10,上次看重播 那個十幾萬的肖楠底座很讚沒收到 恭喜木友收藏,KOS
葉豐榮,01:11:37,有錢花去買木頭,other
Ting-hao Ku,01:11:49,放後車廂可以輸贏用而且不會輸,other
朱聰智,01:14:02,2320,KOC
Wau Chin A,01:14:43,2540,KOC
菀羚趙,01:15:36,100,KOC
于佳田,01:15:51,200,KOC
廖家麟,01:17:08,3320,KOC
廖家麟,01:18:02,拿去敲頭殼,other
Wau Chin A,01:18:22,放車上防身,other
邱微君,01:18:43,3280,KOC
Ting-hao Ku,01:18:48,當家法,other
Wau Chin A,01:19:35,你認證過，表示能防身,other
Ting-hao Ku,01:19:37,共告,other
黃昌偉,01:20:51,3680,KOC
Ting-hao Ku,01:22:05,3440,KOC
Ting-hao Ku,01:22:11,3440,KOC
趙嘉曘,01:22:13,3440,KOC
Wau Chin A,01:22:16,有3440,KOC
Ting-hao Ku,01:22:33,可車珠嗎？,other
Ting-hao Ku,01:22:37,好奇,other
葉豐榮,01:22:56,摩里的午後的香味…滿滿的滿月圓,KOF
趙嘉曘,01:23:12,4700,KOC
黃昌偉,01:26:39,無法扛拒的好料,KOS
黃鵠志,01:29:49,3540,KOC
黃昌偉,01:31:38,4800,KOC
黃昌偉,01:32:33,他們不知道這種魔力,other
Yu Xie,01:36:15,1700,KOC
施俊佑,01:36:15,1700,KOC
余志強,01:39:53,晚上好,KOF
Wei Lin,01:42:06,第3節+1,KOC
孟慧玲,01:42:09,第一節+1,KOC
Yu Xie,01:42:37,中間+1,KOC
Connie Lin,01:42:39,中間的+1,KOC
Rich Chang,01:46:37,200,KOC
許游戲,01:46:44,300,KOC
陳彥勳,01:46:45,300,KOC
廉裕昌,01:46:49,600,KOC
陳彥勳,01:46:50,400,KOC
林子豪,01:46:54,400,KOC
曾令豪,01:46:55,500,KOC
葉俊毅,01:46:59,500,KOC
Votoroker Lee,01:47:10,400,KOC
Yu Xie,01:47:13,500,KOC
Wei Lin,01:47:15,600,KOC
Wade Chang,01:47:16,600,KOC
Yu Xie,01:47:22,600,KOC
黃明輝,01:47:27,900,KOC
Wei Lin,01:47:28,700,KOC
Votoroker Lee,01:47:34,700,KOC
Votoroker Lee,01:47:45,800,KOC
廉裕昌,01:47:47,1000,KOC
孟慧玲,01:47:48,1000,KOC
Kuei-An Lei,01:47:49,800,KOC
趙嘉曘,01:47:52,800,KOC
Votoroker Lee,01:47:52,1000,KOC
林政毅,01:49:34,15000,KOC
黃鵠志,01:49:39,15000,KOC
孟慧玲,01:50:01,1980,KOC
黃鵠志,01:50:08,我想買可加座嗎？,KOC
Connie Lin,01:50:46,1340,KOC
黃鵠志,01:50:58,恭喜,KOF
Wei Lin,01:51:08,1540,KOC
黃鵠志,01:50:58,恭喜,KOF
Wei Lin,01:51:08,1540,KOC
黃鵠志,01:52:01,欣賞,KOF
Moyuman Tseng,01:52:51,這品質很好想要可以做板凳嗎,KOC
Moyuman Tseng,01:53:08,+1,KOC
廖家麟,01:53:31,+1,KOC
葉豐榮,01:53:54,45KG,other
林政毅,01:54:12,剛剛我買的15000的肖楠可以幫我加底座嗎？橫放的￼,KOC
Moyuman Tseng,01:54:18,阿忠好猛 偶像,KOF
林政毅,01:54:48,謝謝,other
葉豐榮,01:57:22,加兩隻手兩隻腳架高當木人樁,other
林政毅,01:57:42,謝謝,other
葉豐榮,01:58:16,再放個余董的大頭照,other
Moyuman Tseng,01:58:19,退可裁,other
Moyuman Tseng,01:59:05,怎余董這台都有好東西,other
李冠辰,02:00:44,水,KOC
鄭偉誠,02:00:51,這塊我買過漂亮,KOS
Ericsson Lee,02:00:53,這品質很好適合當衣帽架,KOS
葉豐榮,02:01:44,裏面不好整理…師父 哇哇叫,other
李冠辰,02:04:25,滿月圓嗎？,other
Moyuman Tseng,02:04:52,淒美愛情糾結故事,other
菀羚趙,02:07:28,夫妻木，夫妻本是同林鳥大難臨頭各自飛￼飛大難臨頭各自飛￼￼￼,other
Moyuman Tseng,02:08:02,有點害羞造型,other
葉豐榮,02:08:14,是3P,other
Moyuman Tseng,02:09:43,最後慘遭余董 屠手,other
Moyuman Tseng,02:10:17,余董是 三妹,other
葉豐榮,02:13:14,這個超級臭的…下午磨的…滿滿滿滿滿,other
葉豐榮,02:14:50,很滿的滿月味,other
Moyuman Tseng,02:20:13,這沒包皮,other
邱微君,02:20:38,1000,KOC
Moyuman Tseng,02:21:06,傳說 白虎 喔,other
楊仁耀,02:21:47,1100,KOC
林易澤,02:21:52,1200,KOC
程泓榮,02:21:58,白虎就是沒毛,other
Moyuman Tseng,02:22:05,1100,KOC
Moyuman Tseng,02:23:03,木頭沒皮 白標 就是白虎,other
楊仁耀,02:27:15,3000,KOC
林易澤,02:30:42,6000,KOC
黃昌偉,02:35:01,太厚工,other
黃昌偉,02:35:58,這做椅凳也很漂亮,KOS
黃昌偉,02:39:10,這我之前有買過很讚的,KOS
黃昌偉,02:41:28,大陸做紅木家具嗎？,other
Moyuman Tseng,02:43:37,撿到就要送 回饋 木友啊,other
Wau Chin A,02:43:42,2700,KOC
黃昌偉,02:44:03,+1,KOC
Moyuman Tseng,02:44:05,我們看你直播 你都沒付薪水,other
黃昌偉,02:46:01,爆裂開,other
Moyuman Tseng,02:47:30,楷模 是 辣妹模特兒 啊,other
黃昌偉,02:47:31,有學問的老余,other
Moyuman Tseng,02:48:19,孔子 那時候 山東 有 黃連木 嗎,other
黃昌偉,02:48:33,"真的我查過",other
Moyuman Tseng,02:49:15,薇閣 比較 實際,other
楊仁耀,02:50:57,3000,KOC
黃昌偉,02:51:19,這品質很好 太便宜了啦,KOS
Moyuman Tseng,02:51:33,孔子木旁叫楷書 那 誰旁邊叫凱子？,other
張益瑞,02:52:00,3100,KOC
Wei Lin,02:52:09,3100,KOC
Wei Lin,02:52:16,3200,KOC
楊仁耀,02:52:16,3200,KOC
楊仁耀,02:52:49,恭喜,KOF
Moyuman Tseng,02:53:14,孔子墓旁叫楷樹 余董身旁叫凱子,other
Moyuman Tseng,02:54:49,好大一隻阿六鼠,other
黃昌偉,02:55:51,有藝,other
陳彥勳,03:01:34,3500+1,KOC
黃昌偉,03:07:38,我之前買過那批牛樟超香的,KOS
羅巍強,03:07:47,牛樟寶盆超香，而且沒漆還沒變形沒裂,KOS
菀羚趙,03:08:12,牛手珠沒有的木友就快收一串，可以收＇外面少的,KOS
程泓榮,03:08:41,牛樟都壓過去扁柏味道大家趕快買,KOS
羅巍強,03:09:30,呂董說，來一串貓腳蹄的牛樟吧,other
Wau Chin A,03:09:54,都沒我的顆數,other
李柏翰,03:12:51,余董 幫我選一串12mm，我要送老母,KOC
李柏翰,03:13:35,2500,KOC
黃昌偉,03:15:51,便宜,other
黃昌偉,03:17:02,閣俗,other
林韋勳,03:17:02,俗,other
菀羚趙,03:17:05,真的便宜,other
黃昌偉,03:17:35,看一下斷面,other
菀羚趙,03:17:40,我手指綁起來了，否則￼…．,other
黃昌偉,03:18:28,真的會忍不住,other
包嘉良,03:18:56,晚上好,KOF
包嘉良,03:20:10,隨便打成珠都超過,other
Moyuman Tseng,03:20:40,看余董直播 要唸心經淡定,other
Moyuman Tseng,03:21:09,買回家會被重擊,other
包嘉良,03:21:14,也可以把手珠掛在上面，當手珠的臨時住所,other
菀羚趙,03:22:03,搓了會爽,other
李嘉祥,03:22:05,這有擦護木油,other
李嘉祥,03:23:19,了解,other
林韋勳,03:23:47,好奇 為什麼會毀掉,other
林韋勳,03:23:55,是化學反應嗎,other
黃昌偉,03:23:58,擦了去了了,other
菀羚趙,03:24:13,擦油浪費柴頭＇買一次終身成就獎,other
包嘉良,03:24:14,我可以用流蘇去打嗎？,other
林韋勳,03:24:20,長知識,other
黃昌偉,03:25:05,表層的包裹的油脂會被破壞,other
菀羚趙,03:25:05,我多用我單身60年的手速對付肖楠,other
林韋勳,03:25:14,只要是消楠都不要擦任何保養品對不對,other
張清宗,03:28:03,這組合漂亮,KOC
林韋勳,03:33:12,這幾塊我都要了可以嗎,KOC
林韋勳,03:33:48,1200,KOC
林韋勳,03:34:23,648,KOC
林韋勳,03:34:54,544,KOC
林韋勳,03:35:40,在這裡買品質保證,KOS
Moyuman Tseng,03:35:42,0,other
林韋勳,03:35:43,0,other
Moyuman Tseng,03:35:49,0,other
林韋勳,03:35:49,感謝余董,KOF
Moyuman Tseng,03:36:14,不同料 不同人 啊,other
林韋勳,03:36:46,600,KOC
陳曉銘,03:38:36,好,other
林韋勳,03:39:39,100,KOC
程泓榮,03:39:42,100,KOC
Hsieh Chieh,03:39:51,100,KOC
許智超,03:40:00,200,KOC
林韋勳,03:40:16,200,KOC
Kuei-An Lei,03:40:17,300,KOC
李建文,03:40:21,200,KOC
Yu Xie,03:40:22,200,KOC
Yu Xie,03:40:25,300,KOC
黃昌偉,03:42:42,0,other
林韋勳,03:44:19,0.8-1公分薄板,other
陳銘鳳,03:44:54,第40標,other
陳銘鳳,03:46:37,3000+2,KOC
Moyuman Tseng,03:47:21,余董最會搞洞洞～～～～～,other
林韋勳,03:47:37,我的畫面不會動,other
Wau Chin A,03:47:39,幫我改，041標…… 查看更多,other
林韋勳,03:47:43,有聲音,other
林韋勳,03:49:31,一樣 畫面卡在余董站在薄板面前哈哈哈,other
林韋勳,03:49:47,有聲音畫面不會動,other
林韋勳,03:50:03,好喔 我試試看,other
Wau Chin A,03:50:32,2500+2,KOC
林韋勳,03:51:35,沒關係,other
林韋勳,03:51:38,我有聲音,other
林韋勳,03:52:00,2500,KOC
林韋勳,03:52:05,賀,other
林韋勳,03:52:12,沒關係,other
Gali Lei,03:52:50,16+1,KOC
Hsieh Chieh,03:54:42,聞過牛樟….紅檜大概算是沒味道了,other
李柏翰,03:55:26,余董 手排什麼時候會有實體,KOF
陳聖助,03:57:30,牛樟丸+1,KOC
楊和展,03:57:46,余董我要刮痧片,KOC
陳聖助,03:58:17,8888+1,KOC
楊和展,04:00:36,500+2,KOC
楊和展,04:01:14,好,other
Wade Chang,04:01:52,500+1,KOC
陳銘鳳,04:02:02,500+2,KOC
Wade Chang,04:02:25,ok,other
陳銘鳳,04:03:05,oK,other
Gali Lei,04:03:48,剛剛960元的扁柏有賣掉嗎,other
Gali Lei,04:04:47,960+1,KOC
趙嘉曘,04:05:46,余董，我第15標買的滿月圓肖楠長度63公分太長，超商無法寄，可以幫我切一半嗎？,KOC
趙嘉曘,04:06:14,謝謝,other
趙嘉曘,04:06:25,好,other
趙嘉曘,04:06:31,謝謝,other
