user,time,comment,roles
李建成,00:07:49,油炮釘,KOF
楊耕富,00:07:49,油炮釘,KOF
易井田,00:07:50,油炮釘,KOF
林昇賢,00:07:50,油炮釘,KOF
Grace Lu,00:07:50,油炮釘,KOF
池雙耀,00:07:51,殘酷的世界,other
賴澐謄,00:07:51,油炮釘,KOF
Jeremy Huang,00:07:53,油炮釘,KOF
Hong Wen Lin,00:07:55,油炮釘,KOF
Mars Chao,00:07:56,油炮釘,KOF
微風蔡,00:07:57,油炮釘,KOF
賴澐謄,00:07:58,油炮釘,KOF
甲上上,00:07:58,油炮釘,KOF
楊耕富,00:08:00,油炮釘,KOF
易井田,00:08:01,油炮釘,KOF
林昇賢,00:08:01,油炮釘,KOF
黃小敏,00:08:01,油炮釘,KOF
Mars Chao,00:08:02,油炮釘,KOF
賴澐謄,00:08:02,油炮釘,KOF
吕學義,00:08:03,油炮釘,KOF
賴澐謄,00:08:05,油炮釘,KOF
Hong Wen Lin,00:08:06,油炮釘,KOF
甲上上,00:08:07,油炮釘,KOF
賴澐謄,00:08:09,油炮釘,KOF
Mars Chao,00:08:09,油炮釘,KOF
易井田,00:08:12,油炮釘,KOF
楊耕富,00:08:12,油炮釘,KOF
微風蔡,00:08:12,油炮釘,KOF
賴澐謄,00:08:15,油炮釘,KOF
甲上上,00:08:15,油炮釘,KOF
YU Bin Xiao,00:08:16,油砲丁,KOF
楊耕富,00:08:19,油炮釘,KOF
Ba Ba Huang,00:08:20,油炮釘,KOF
甲上上,00:08:20,油炮釘,KOF
易井田,00:08:25,油炮釘,KOF
甲上上,00:08:30,油炮釘,KOF
Ba Ba Huang,00:08:35,油炮釘,KOF
賴澐謄,00:08:35,油炮釘,KOF
甲上上,00:08:35,油炮釘,KOF
YU Bin Xiao,00:08:35,油砲盯,KOF
微風蔡,00:08:38,油炮釘,KOF
賴澐謄,00:08:38,油炮釘,KOF
楊恭維,00:08:41,在,KOF
Mprs Tty,00:08:46,油炮釘,KOF
楊恭維,00:08:47,在,KOF
賴澐謄,00:08:48,油炮釘,KOF
李羿酉,00:08:51,油炮釘,KOF
林昇賢,00:08:51,恭禧,KOF
李羿酉,00:09:02,油炮釘,KOF
賴澐謄,00:09:15,恭喜,KOF
賴澐謄,00:09:22,恭喜,KOF
黃小敏,00:09:40,恭喜,KOF
賴澐謄,00:10:18,新年快樂,KOF
YU Bin Xiao,00:10:49,有厚一點的嗎,KOC
Charger Tsai,00:14:22,2113,KOC
楊祥麟,00:14:45,大木哥哥下午好,KOF
Vince Lee,00:15:34,1413,KOC
Mprs Tty,00:16:23,1388,KOC
柯宏達,00:16:42,請良心出價，不要再出100元，至少要200起，才對的起木材。,KOS
Charger Tsai,00:18:03,這個有棍柱型的嗎？,KOC
Charger Tsai,00:20:34,有沒有在稍微細一點圓一點？,KOC
Andy Yang,00:21:41,12000,KOC
Vince Lee,00:24:53,1800,KOC
孟慧玲,00:27:12,可以再看一下第一標嗎？,KOC
林昇賢,00:27:23,會不會再裂開,KOC
Charger Tsai,00:28:06,我剛剛那一顆也有上漆嗎？,KOC
陳皆興,00:40:25,1725,KOC
孟慧玲,00:41:41,300,KOC
孟慧玲,00:41:53,600,KOC
許傳文,00:42:05,600,KOC
Charger Tsai,00:42:28,100,KOC
夏旭明,00:42:29,500,KOC
陳皆興,00:42:34,8OO,KOC
楊耕富,00:42:45,200,KOC
陳皆興,00:42:54,9O0,KOC
Denktom Wu,00:43:05,700,KOC
鄭承洲,00:43:07,700,KOC
Lin Mitsurugi,00:43:07,700,KOC
甲上上,00:43:12,700,KOC
Soros Lin,00:43:16,700,KOC
夏旭明,00:43:18,800,KOC
Andy Yang,00:43:26,900,KOC
Vince Lee,00:43:31,Ok,other
鄭承洲,00:43:32,800,KOC
李羿酉,00:43:42,800,KOC
鄭承洲,00:43:46,1000,KOC
Charger Tsai,00:43:52,1000,KOC
李羿酉,00:43:52,900,KOC
Vince Lee,00:43:53,1200,KOC
Huang Hsuan,00:43:55,1100,KOC
Charger Tsai,00:44:01,1100,KOC
Denktom Wu,00:44:08,1100,KOC
Huang Hsuan,00:44:10,1300,KOC
劉鳳,00:46:20,水,KOF
Shih Chien Su,00:46:59,好木頭,KOC
孟慧玲,00:47:29,1563,KOC
孟慧玲,00:47:36,之前有買過，有比較大塊，大家趕快出價,KOS
Shih Chien Su,00:47:58,買過有，比較大塊,KOC
Charger Tsai,00:48:06,1563,KOC
Lin Story,00:48:19,1563,KOC
Shih Chien Su,00:50:06,這種料遇到機率相對低很多,KOS
陳皆興,00:51:07,我有買過，這是醇化味,KOC
Charger Tsai,00:55:22,釘在牆壁可以掛衣服，大家覺得呢,KOS
Andy Yang,00:55:41,100,KOC
楊耕富,00:55:49,200,KOC
甲上上,00:56:48,300,KOC
楊耕富,00:57:14,400,KOC
甲上上,00:57:25,感謝,KOC
甲上上,00:58:44,600,KOC
蕭昭榕,00:58:52,900,KOC
Chiahui Huang,00:59:30,700,KOC
甲上上,00:59:45,800,KOC
Chiahui Huang,01:00:09,900,KOC
Chiahui Huang,01:00:18,1000,KOC
Chiahui Huang,01:02:16,1000,KOC
Simon Lin,01:02:33,1100,KOC
Chiahui Huang,01:03:49,1200,KOC
Vince Lee,01:06:33,2000,KOC
甲上上,01:06:46,2000,KOC
呂紹強,01:07:03,這是滿月圓嗎？,KOC
Charger Tsai,01:08:03,2800,KOC
甲上上,01:08:17,2100,KOC
Charger Tsai,01:08:40,支持,KOF
Charger Tsai,01:08:45,$2800,KOC
Charger Tsai,01:08:55,謝謝大木哥,KOF
Charger Tsai,01:09:37,那要提幾箱過去才夠,other
Chiahui Huang,01:13:58,1500,KOF
Vince Lee,01:14:51,1500,KOC
Charger Tsai,01:15:14,￼1700,KOC
Chiahui Huang,01:15:18,1600,KOC
Charger Tsai,01:17:46,很橫材我買了好幾根扁柏，目前等他裂,KOC
文君,01:18:28,木友們下午好,KOS
Charger Tsai,01:19:00,小編那天直播台語 有裂線（有利潤）有裂的才好,KOS
Charger Tsai,01:19:44,我喜歡不上漆讓他裂的，有人也是嗎,KOS
孟慧玲,01:24:05,128+1,KOC
林昇賢,01:24:11,128+2,KOC
楊素華,01:24:38,128+1,KOC
Chiahui Huang,01:24:43,128+3,KOC
呂紹強,01:24:53,128,KOC
李羿酉,01:25:10,128,KOC
YK Sun,01:26:34,250,KOC
Chiahui Huang,01:26:50,261,KOC
孟慧玲,01:26:52,300,KOC
Chiahui Huang,01:27:16,500,KOC
Chiahui Huang,01:27:37,300,KOC
Chiahui Huang,01:28:47,501,KOC
Charger Tsai,01:29:37,999,KOC
Charger Tsai,01:31:11,999,KOC
Charger Tsai,01:32:27,剛剛我買到的兩個都是什麼味道？,KOC
Charger Tsai,01:33:42,2800,KOC
陳皆興,01:35:47,80OO,KOC
Charger Tsai,01:37:06,底下能夠用四角的嗎？,KOC
甲上上,01:37:42,恭喜,KOF
Charger Tsai,01:37:51,恭喜,KOF
李羿酉,01:38:04,恭喜,KOF
陳皆興,01:42:31,+1,KOC
黃瑞全,01:42:41,+1,KOC
Helen Chang,01:42:52,+1,KOC
許傳文,01:42:52,+1,KOC
韓榮華,01:43:18,+1,KOC
林育弘,01:43:23,+1,KOC
Charger Tsai,01:43:49,這個應該可以按照裂縫切成4座賣,KOS
甲上上,01:44:50,2600,KOC
陳皆興,01:46:19,恭喜,KOF
陳紘杰,01:46:26,安安,KOF
甲上上,01:46:39,不會 感謝,KOF
陳紘杰,01:47:21,極品材料不要亂賣,KOS
陳紘杰,01:47:44,我可以幫你保管,KOF
陳紘杰,01:48:53,安安^^,KOF
Charger Tsai,01:49:04,有扁薄的細根帶皮嗎？,KOC
陳紘杰,01:50:06,筆拿來0元起標,KOS
Charger Tsai,01:50:16,就是根料帶皮的,KOC
陳紘杰,01:52:01,這可以車球棒欸,KOS
Charger Tsai,01:52:45,紋路還在可以,KOS
陳皆興,01:53:17,恭喜,KOF
Charger Tsai,01:53:18,3688,KOC
Xiao Yang,01:53:25,3688
孟慧玲,01:53:49,這隻有切小片的嗎？想聞香用。,KOC
Charger Tsai,01:53:53,謝謝大木哥,KOF
Charger Tsai,01:54:31,有求必應呢？,other
李羿酉,01:54:35,恭喜,KOF
孟慧玲,01:54:51,謝謝,KOF
陳紘杰,01:57:51,請問我可以幫忙加碼嗎,KOS
陳紘杰,01:58:43,買一支送一支,KOS
陳紘杰,01:58:57,香打香？,KOS
鄒逸芸,01:59:44,香,KOF
陳紘杰,02:00:14,支持摩里沙卡的姐姐妹妹兄弟們,KOS
林雁峯,02:00:16,香,KOF
楊耕富,02:00:18,真香,KOF
陳紘杰,02:00:43,有沒有木盒子,KOC
呂紹強,02:00:44,超香，老師的筆質感真的超讚,KOF
Jack Hsu,02:00:45,香,KOF
Helen Chang,02:01:00,香,KOF
Helen Chang,02:01:00,666,KOC
Shu Miao Chang,02:02:25,888+1,KOC
Lin Mitsurugi,02:02:33,2+1,KOC
甲上上,02:02:38,可以黃金壇配綠壇一組嗎,KOC
陳紘杰,02:02:52,夠 +起來,KOS
Shu Miao Chang,02:02:59,1+1,KOC
陳紘杰,02:03:37,黑檀磁吸盒也+碼啊 衝,KOS
甲上上,02:04:22,888+1,KOC
甲上上,02:04:44,感謝,KOF
Jack Hsu,02:05:04,黃/綠+1,KOC
陳紘杰,02:05:10,交個朋友,other
陳紘杰,02:05:29,今天去龍潭一等賞喝了一些,other
Shu Miao Chang,02:05:38,我的也是—黃/綠+1,KOC
陳紘杰,02:06:05,老闆決定,other
Shu Miao Chang,02:06:26,謝謝老師和大木哥,KOF
呂紹強,02:06:35,黑檀磁吸盒質感更讚，超沉,KOC
Simon Lin,02:07:23,有含木盒嗎？,KOC
甲上上,02:08:14,一等賞 好吃 環境優美,KOS
包嘉良,02:10:11,午安,KOf
呂紹強,02:10:53,有筆蓋款嗎？,KOC
Simon Lin,02:11:44,黃+黃 +1,KOC
陳紘杰,02:12:59,老闆需要加碼嗎,KOS
陳紘杰,02:13:13,阿莎力一點,other
陳紘杰,02:14:09,買一送一 香打香？,KOS
Joe Hi,02:14:14,可以换筆蕊嗎？,KOC
吕學義,02:14:54,1000+1,KOC
呂紹強,02:14:57,老師又要買一送一,KOS
Simon Lin,02:15:24,1000+1,KOC
夏旭明,02:16:12,1000+1,KOC
Shu Miao Chang,02:16:21,我的組合是：黃+綠，麻煩小編修改，謝謝。,KOC
Lin Mitsurugi,02:16:23,我的是綠+綠 麻煩改一下 謝謝,KOC
Charger Tsai,02:16:29,這樣等於一支筆加筆盒不到$1000,KOC
陳紘杰,02:16:31,"沒加的朋友才是喝醉了，哈哈哈",other
包嘉良,02:16:32,紘杰，你是不是喝醉了,other
呂紹強,02:16:33,老師真大方,KOF
夏旭明,02:20:07,水,KOF
吕學義,02:21:35,黑加1,KOC
陳家福,02:26:03,666,KOF
陳美怡,02:26:05,666,KOF
黃瑞全,02:26:06,666,KOF
陳政忠,02:26:09,666,KOF
劉鳳,02:26:10,666,KOF
陳美怡,02:26:12,666,KOF
黃瑞全,02:26:14,666,KOF
劉鳳,02:26:17,666,KOF
劉鳳,02:26:24,666,KOF
摩里沙卡,02:26:28,666,KOF
陳美怡,02:26:31,666,KOF
許傳文,02:26:32,666,KOF
陳耀東,02:26:33,666,KOF
包嘉良,02:26:35,666,KOF
Andy Yang,02:26:36,666,KOF
林政毅,02:26:37,666,KOF
歐陽,02:26:40,666,KOF
包嘉良,02:26:41,666,KOF
楊素華,02:26:41,666,KOF
夏旭明,02:26:41,666,KOF
李羿酉,02:26:41,666,KOF
楊耕富,02:26:42,666,KOF
Ba Ba Huang,02:26:44,666,KOF
Soros Lin,02:26:45,666,KOF
許傳文,02:26:46,666,KOF
包嘉良,02:26:48,666,KOF
Ba Ba Huang,02:26:48,666,KOF
陳皆興,02:26:48,666,KOF
Mars Chao,02:26:49,666,KOF
包嘉良,02:26:53,666,KOF
Mars Chao,02:26:53,666,KOF
甲上上,02:26:54,666,KOF
Ba Ba Huang,02:26:55,666,KOF
曾曉鑫,02:26:55,666,KOF
Charger Tsai,02:26:55,666,KOF
陳美怡,02:26:55,666,KOF
易井田,02:26:56,666,KOF
付小平,02:26:58,666,KOF
夏旭明,02:26:58,666,KOF
李羿酉,02:26:58,666,KOF
Charger Tsai,02:27:00,666,KOF
潘惠林,02:27:01,666,KOF
林坤和,02:27:01,666,KOF
李羿酉,02:27:02,666,KOF
楊耕富,02:27:04,666,KOF
陳昌琦,02:27:04,666,KOF
Denktom Wu,02:27:06,666,KOF
甲上上,02:27:07,666,KOF
劉鳳,02:27:07,666,KOF
易井田,02:27:10,666,KOF
David Wang,02:27:15,666,KOF
Chih Chieh Chen,02:27:15,666,KOF
甲上上,02:27:19,666,KOF
曹伯愷,02:27:20,666,KOF
包嘉良,02:27:24,666,KOF
許傳文,02:27:24,666,KOF
易井田,02:27:24,666,KOF
微風蔡,02:27:28,666,KOF
黃瑞全,02:27:28,666,KOF
楊耕富,02:27:28,666,KOF
包嘉良,02:27:28,666,KOF
韓榮華,02:27:28,666,KOF
劉鳳,02:27:29,666,KOF
王繼勇,02:27:29,666,KOF
Xiao Yang,02:27:29,666,KOF
Chih Chieh Chen,02:27:30,666,KOF
Eugene Chen,02:27:31,666,KOF
包嘉良,02:27:32,666,KOF
菀羚趙,02:27:32,666,KOF
微風蔡,02:27:34,666,KOF
甲上上,02:27:35,666,KOF
劉鳳,02:27:36,666,KOF
Jeremy Huang,02:27:38,666,KOF
許傳文,02:27:39,666,KOF
微風蔡,02:27:39,666,KOF
包嘉良,02:27:44,666,KOF
林恩永,02:27:45,666,KOF
易井田,02:27:45,666,KOF
李羿酉,02:27:46,666,KOF
呂紹強,02:27:48,666,KOF
Chih Chieh Chen,02:27:50,666,KOF
許肇英,02:27:50,666,KOF
劉鳳,02:27:52,666,KOF
許傳文,02:27:52,666,KOF
Fu Chang Stone,02:27:53,666,KOF
楊耕富,02:27:53,666,KOF
陳皆興,02:27:54,666,KOF
Joe Hi,02:27:55,666,KOF
陳昌琦,02:27:55,666,KOF
吕學義,02:27:58,666,KOF
許肇英,02:28:00,666,KOF
李羿酉,02:28:02,666,KOF
許傳文,02:28:03,666,KOF
Andy Yang,02:28:03,666,KOF
易井田,02:28:05,666,KOF
林恩永,02:28:05,666,KOF
韓榮華,02:28:06,666,KOF
付小平,02:28:06,666,KOF
楊耕富,02:28:09,666,KOF
Grace Lu,02:28:13,666,KOF
Ba Ba Huang,02:28:13,666,KOF
Jeremy Huang,02:28:17,666,KOF
潘惠林,02:28:18,666,KOF
Ba Ba Huang,02:28:19,666,KOF
包嘉良,02:28:20,666,KOF
易井田,02:28:21,666,KOF
Charger Tsai,02:28:23,666,KOF
Denktom Wu,02:28:23,666,KOF
廖建安,02:28:24,666,KOF
盧晴晴,02:28:25,666,KOF
楊耕富,02:28:25,666,KOF
李羿酉,02:28:25,666,KOF
Charger Tsai,02:28:26,666,KOF
林恩永,02:28:28,666,KOF
陳昌琦,02:28:29,666,KOF
Jeremy Huang,02:28:29,666,KOF
易井田,02:28:29,666,KOF
Mars Chao,02:28:31,666,KOF
楊耕富,02:28:33,666,KOF
Charger Tsai,02:28:34,666,KOF
李羿酉,02:28:34,666,KOF
Mars Chao,02:28:34,666,KOF
潘惠林,02:28:38,666,KOF
韓榮華,02:28:38,666,KOF
Charger Tsai,02:28:39,666,KOF
陳昌琦,02:28:39,666,KOF
易井田,02:28:39,666,KOF
李羿酉,02:28:41,666,KOF
微風蔡,02:28:41,666,KOF
包嘉良,02:28:43,666,KOF
楊耕富,02:28:43,666,KOF
甲上上,02:28:43,666,KOF
Charger Tsai,02:28:43,666,KOF
李羿酉,02:28:45,666,KOF
Agan Chen,02:28:46,666,KOF
甲上上,02:28:47,666,KOF
包嘉良,02:28:47,666,KOF
Charger Tsai,02:28:48,666,KOF
吕學義,02:28:48,666,KOF
李羿酉,02:28:49,666,KOF
易井田,02:28:50,666,KOF
付小平,02:28:50,666,KOF
甲上上,02:28:53,666,KOF
楊耕富,02:28:53,666,KOF
林恩永,02:28:54,666,KOF
李羿酉,02:28:59,666,KOF
陳政忠,02:29:03,換宸宸上,other
李羿酉,02:29:07,666,KOF
劉鳳,02:29:08,恭喜,KOF
Joe Hi,02:29:14,剛剛没筆蓋的黄+綠+1,KOC
楊素華,02:29:26,在,KOF
楊素華,02:29:39,謝謝,KOF
陳耀東,02:29:44,恭喜,KOF
包嘉良,02:29:57,恭喜,KOF
劉鳳,02:29:58,大気,KOF
陳美怡,02:30:15,666,KOF
李羿酉,02:30:17,恭喜,KOF
Denktom Wu,02:30:21,恭喜,KOF
李羿酉,02:30:53,666,KOF
楊耕富,02:31:20,666,KOF
陳皆興,02:31:23,+1,KOC
劉鳳,02:31:34,+1,KOC
陳皆興,02:31:36,+1,KOC
陳家福,02:31:36,+1,KOC
曹伯愷,02:31:43,+1,KOC
傅文洲,02:31:59,+1,KOC
黃運緯,02:32:00,+1,KOC
林政毅,02:32:03,+1,KOC
Xiao Yang,02:32:03,+1,KOC
Andy Yang,02:32:04,+1,KOC
韓榮華,02:32:07,+1,KOC
柯宏達,02:32:11,這支讚,KOC
Ba Ba Huang,02:32:21,+1,KOC
夏旭明,02:32:24,+1,KOC
Charger Tsai,02:32:26,+1,KOC
包嘉良,02:32:29,+1,KOC
廖建安,02:32:29,+1,KOC
CC Hi,02:32:43,+1,KOC
許肇英,02:32:46,+1,KOC
Agan Chen,02:32:49,+1,KOC
陳孟勤,02:32:51,+1,KOC
Fu Chang Stone,02:32:55,+1,KOC
菀羚趙,02:33:01,+1太香了,KOC
Denktom Wu,02:33:22,+1,KOC
廖宜賓,02:33:30,超大油炮丁,KOC
黃運緯,02:33:36,我不用底座，2000開車,other
李建成,02:33:44,+1,KOC
菀羚趙,02:33:54,老余最愛的味道,KOF
柯宏達,02:33:55,+1,KOC
黃運緯,02:33:56,無擋！,other
韓榮華,02:34:05,牡羊座的脾氣有很好嗎？,other
陳皆興,02:34:25,36666,KOC
Andy Yang,02:34:50,36666,KOC
廖宜賓,02:35:06,恭喜,KOF
吕學義,02:35:13,恭喜成交好木,KOF
陳皆興,02:35:18,恭喜,KOF
劉鳳,02:35:20,666,KOF
Joe Hi,02:35:24,666,KOF
黃運緯,02:35:25,恭喜,KOF
劉鳳,02:35:28,666,KOF
Charger Tsai,02:35:30,36666,KOC
Denktom Wu,02:35:33,恭喜,KOF
劉鳳,02:35:42,恭喜,KOF
包嘉良,02:35:43,恭喜,KOF
包嘉良,02:35:47,666,KOF
黃運緯,02:35:48,36666,KOC
菀羚趙,02:36:07,666超值得恭喜,KOF
楊素華,02:36:14,666,KOF
陳皆興,02:36:15,666,KOF
WL Lu,02:36:27,666,KOF
陳皆興,02:36:30,666,KOF
韓榮華,02:36:32,這個敗家子拿蕭南當底座,other
劉鳳,02:36:35,俗,KOF
劉鳳,02:36:41,水,KOF
Eugene Chen,02:36:49,666,KOF
夏旭明,02:36:49,666,KOF
李建成,02:37:00,666,KOF
劉鳳,02:37:22,送錢來的不要等太久,other
Andy Yang,02:37:28,我也是牡羊座,other
韓榮華,02:38:03,我就是牡羊座，可是我的脾氣不太好,other
Denktom Wu,02:38:25,牡牛很有正義感,other
韓榮華,02:38:34,牡羊座得很乾脆倒是真的,other
摩里沙卡,02:39:38,哇哦,other
陳皆興,02:39:39,真的瘋了,other
